3 5
[] 0 0
[Aa] 0 0
[AaAa] 0 0
[AaAaAa] 0 0
[AaAaAaAa] 0 1
[ABabBbBbBb] 4 5
[ABabABabBbBb] 2 4
[ABCabcABabBbBb] 4 7
[ABCaDbcAdBabBbBb] 6 10
[ABabCBcbBbBb] 5 7
[ABabCABcabBbBb] 2 5
[ABCabDcABdabBbBb] 4 8
[ABabCDBcdbBbBb] 0 0
[AaABabCDBcdbBbBb] 4 8
[AaBAbaCDAcdaAaAa] 4 8
[AaBCbcADCadcCcCc] 4 8
[AaAaABCabcADadBb] 8 12
[AaAaAaBb] 0 1
[ABabBbBbAa] 4 5
[ABabABabBbAa] 2 4
[ABCabcABabBbAa] 4 7
[ABCaDbcAdBabBbAa] 6 10
[ABabCBcbBbAa] 5 7
[ABabCABcabBbAa] 2 5
[ABCabDcABdabBbAa] 4 8
[ABabCDBcdbBbAa] 0 0
[AaBbBCDbcdBAbaAa] 8 12
[AaBAbaCDAcdaAaBb] 4 8
[AaBCbcADCadcCcBb] 4 8
[AaBCbcDACdacCcBb] 4 8
[ABabBbBbCc] 4 5
[ABabABabBbCc] 2 4
[ABCabcABabBbCc] 4 7
[ABCaDbcAdBabBbCc] 6 10
[AaBbBCbcDBCdbc] 7 10
[AaBbBCbAcDBaCdbc] 6 10
[ABabCBcbBbCc] 5 7
[ABabCABcabBbCc] 2 5
[AaBbBCAbcDaBCdbc] 8 12
[ABabCDBcdbBbCc] 0 0
[AaABabCDBcdbBbCc] 4 8
[AaBbBCAbcaBDbdBb] 8 12
[AaBCbcADCadcCcAa] 4 8
[AaBbBCAbcaBDbdCc] 8 12
[ABabCBcbBbDd] 5 7
[AaBbBCDbcdBCbc] 9 12
[ABCabDcABdabBbCc] 4 8
[ABabCDBcdbBbDd] 0 0
[AaABabCDBcdbBbDd] 4 8
[AaBbBACbacBDbdBb] 8 12
[AaBbBACbacBDbdCc] 8 12
[AaBCbcDACdacCcAa] 4 8
[AaAaBb] 0 0
[AaAaAaBb] 0 1
[ABabBbBbAa] 4 5
[ABabABabBbAa] 2 4
[ABCabcABabBbAa] 4 7
[ABCaDbcAdBabBbAa] 6 10
[ABabCBcbBbAa] 5 7
[ABabCABcabBbAa] 2 5
[ABCabDcABdabBbAa] 4 8
[ABabCDBcdbBbAa] 0 0
[AaBbBCDbcdBAbaAa] 8 12
[AaBAbaCDAcdaAaBb] 4 8
[AaBCbcADCadcCcBb] 4 8
[AaBCbcDACdacCcBb] 4 8
[ABabBbBbCc] 4 5
[ABabABabBbCc] 2 4
[ABCabcABabBbCc] 4 7
[ABCaDbcAdBabBbCc] 6 10
[AaBbBCbcDBCdbc] 7 10
[AaBbBCbAcDBaCdbc] 6 10
[ABabCBcbBbCc] 5 7
[ABabCABcabBbCc] 2 5
[AaBbBCAbcDaBCdbc] 8 12
[ABabCDBcdbBbCc] 0 0
[AaABabCDBcdbBbCc] 4 8
[AaBbBCAbcaBDbdBb] 8 12
[AaBCbcADCadcCcAa] 4 8
[AaBbBCAbcaBDbdCc] 8 12
[ABabCBcbBbDd] 5 7
[AaBbBCDbcdBCbc] 9 12
[ABCabDcABdabBbCc] 4 8
[ABabCDBcdbBbDd] 0 0
[AaABabCDBcdbBbDd] 4 8
[AaBbBACbacBDbdBb] 8 12
[AaBbBACbacBDbdCc] 8 12
[AaBCbcDACdacCcAa] 4 8
[AaBbBbAa] 0 1
[ABabAaAaBb] 5 6
[ABabABabAaBb] 2 4
[ABCabcABabAaBb] 5 8
[ABCabDcABdabAaBb] 4 8
